controller,task_id,SR_ep,return,steps,r_err,v_err,align,fuel_used,violations,success,ended_by_max,ended_by_violation,target_radius,e,mass,thrust_limit
expert_fast,fixed_3,0.0,-9202.192243592257,30000,0.24833828953365747,0.004951595933008008,0.9923550458547494,820799.9999760189,0,False,1,0,500000000000.0,0.05,720.0,0.4
expert_fast,fixed_4,0.0,1006.6149298413292,30000,0.09149508094267395,0.012175308612639208,0.9990580136667848,2051999.9999395653,0,False,1,0,500000000000.0,0.1,1000.0,1.0
expert_fast,fixed_5,0.0,2793.0606523294296,30000,0.018494487731956177,0.04097183770051525,0.9784219163451764,2051999.9999395653,0,False,1,0,2000000000000.0,0.0,720.0,1.0
expert_fast,random_1,1.0,-451.69898838200135,17192,0.014432744536097938,0.02043116110917131,0.9731248146845737,6087297.552250849,0,True,0,0,2758007604077.5684,0.3549670093467783,720.0,125.1339032040029
expert_fast,random_2,1.0,1727.7712341915378,20266,0.014315298254514781,0.015638497837131993,0.9774869420328579,6761138.531556187,0,True,0,0,2283613939176.9795,0.1376694853326321,720.0,118.19171041002261
expert_fast,random_3,0.0,5052.911756715521,30000,0.018143925371730207,0.025645113279810762,0.999979315497672,0.0,0,False,1,0,3071390189122.923,0.1171889361969364,600.0,147.310722359482
expert_fast,random_4,1.0,-1051.9446914531154,1614,0.008258613865353266,0.018459908907288942,0.9982911988193585,6240656.290681781,0,True,0,0,217125853670.938,0.1661797953188444,720.0,120.70726140815057
expert_fast,random_5,0.0,2881.4515297152097,30000,0.013163977512873248,0.09066450523158175,0.9487713472275121,4388754.823327109,0,False,1,0,5895360802427.848,0.042350751269788,1000.0,126.95937157367302
expert_fast,random_6,0.0,958.2123142054139,30000,0.002169951353695905,0.025755849149004126,0.9523361909785374,7279803.5146317175,0,False,1,0,4902550455020.217,0.2876436621281773,1000.0,101.9390928708895
expert_fast,random_7,1.0,-1207.2593603413857,2939,0.010758081271685416,0.010182972206170872,0.9965145647249132,7589198.234633699,0,True,0,0,361239700959.1134,0.21579368902590268,720.0,123.46694018390126
expert_fast,random_8,1.0,-115.85438412188735,3321,0.014167694496215136,0.028382933292379293,0.9803558807848929,3186246.2825885494,0,True,0,0,1935904675189.3079,0.24882362801204932,1000.0,136.04283537258792
expert_fast,random_9,1.0,-970.8919893498872,7963,0.013790548052291983,0.022399017952540033,0.9867510876743683,8436716.369408222,0,True,0,0,1316583984185.8306,0.36547417103096513,1000.0,136.11074468850524
expert_fast,random_10,0.0,4230.061830646478,30000,0.030999792371425788,0.006436333745731485,0.9555405230809093,2364777.808097782,0,False,1,0,4447038821287.577,0.30751425770444013,600.0,126.70678543252708
expert_fast,random_11,0.0,-1013.598255401216,30000,0.0008686907719739564,0.05815099638876467,0.9648837161801512,8775136.133245314,0,False,1,0,3687329230186.867,0.32200928760372927,1000.0,139.47896796974567
expert_fast,random_12,1.0,-1436.8875630373589,5310,0.01268929507576709,0.0040975162806236145,0.9932714296695782,9611202.136159679,0,True,0,0,672518893415.0863,0.041569008939934586,1000.0,134.14536705017707
expert_fast,random_13,1.0,-134.4798348088384,190,0.007476112762260551,0.02720763892186293,0.9919770154701586,834246.6871818742,0,True,0,0,8108285010823.027,0.3627390104602885,1000.0,140.6798921640596
expert_fast,random_14,1.0,-247.30007372364656,13451,0.014255783751786537,0.02750050245677284,0.9800454258639141,5236422.744126239,0,True,0,0,2088642119321.361,0.3236328684138678,600.0,112.89339862581824
expert_fast,random_15,0.0,-2832.6640944046535,30000,0.021949831901420667,0.0521510116798112,0.9505045012022766,5300135.06069877,0,False,1,0,4868855537837.845,0.36637721804762013,600.0,137.34194306225976
expert_fast,random_16,1.0,-613.1075897708581,7491,0.013572528451728091,0.001891023561512955,0.9894291106719517,6355966.58811643,0,True,0,0,1078633832385.4099,0.28111613359826493,720.0,130.22601255683287
expert_fast,random_17,1.0,39.71934271397399,1043,0.014464944126347284,0.029049008772234257,0.9915515695105968,668074.9799904339,0,True,0,0,1891107640129.1392,0.3589200346152126,600.0,118.08115109356024
expert_fast,random_18,0.0,1299.0334285931553,30000,0.008797229972992699,0.08461128423190842,0.9102720279327543,3034865.5957310004,0,False,1,0,9441601356783.166,0.04387709849702244,600.0,141.9006477930322
expert_fast,random_19,1.0,-175.4936678852352,437,0.013180279044316425,0.029296897037950315,0.9923655106234381,1221087.229837602,0,True,0,0,1524598267174.8235,0.10591957606788288,720.0,104.15080910483258
expert_fast,random_20,0.0,3014.012410631334,30000,0.010010976721922736,0.025595277082113635,0.9448827026765573,3298942.341943457,0,False,1,0,5555269280203.029,0.06768296923676101,600.0,109.29750482012459
